A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
Pins & Needles	It's all sewed up! [Core Expansion 4, Party Box Expansion 1]
Piranha	Carnivorous fish found in rivers of South America. When you feel like a bite ... [Core Set, Party Box]
Pirates	"Yo, ho, yo, ho, a pirate's life for me ..." - Pirates of the Caribbean [Core Expansion 2, Party Box]
Pit Bulls	Any of several crossbreeds of bulldogs with terriers. Or, several radio hosts we could mention. [Core Set, Party Box]
Plane Crashes	Statistically safer than driving ... unless you crash. [Core Expansion 2, Party Box]
Plastic	Giant molecules of organic polymeric materials. Bags and bags of the stuff. [Core Set, Party Box]
Playgrounds	Some playgrounds have slides, swings, and sandboxes. [Kids Set]
Playing Chess	Has tantalized many of the world's greatest minds for almost 14 centuries. It just confuses the rest of us. [Core Set, Party Box]
Playing Golf	For stress reduction. Now, get that head down and straighten your arm! [Core Expansion 3, Party Box Expansion 1]
Poison Ivy	Itching for a walk in the woods? [Core Expansion 1, Party Box]
Pokemon	Cute cartoon monsters you gotta catch. What you do with them is up to you ... [Core Expansion 1, Party Box]
Pole Vaulting	The sport where you can reach new heights. [Core Expansion 3, Party Box Expansion 1]
Pomp & Circumstance	La-de-da. [Core Expansion 4, Party Box Expansion 1]
Pond Scum	Simple organisms that carry out photosynthesis ... or spammers. [Core Set, Party Box]
Poodles	The only breed that is better groomed than their owners. [Core Expansion 2, Party Box]
Popcorn	Air poppers are for air heads ... I say bring on the butter! [Core Expansion 2, Party Box]
Porcupines	Quill-bearing rodents that can leave you in a prickly situation. [Core Expansion 3, Party Box Expansion 1]
Pork & Beans	Rustle us up some grub, Cookie. [Core Expansion 4, Party Box Expansion 1]
Porsche Boxster	A two-seat, six cylander roadster - elegant design and superior drivability. [Core Expansion 2, Party Box]
Postal Workers	"Neither snow, nor rain, nor heat, nor gloom of night, stays these couriers from the swift completion of their appointed rounds." [Core Expansion 1, Party Box]
Pounding Nails	Use a hammer and watch your fingers. [Kids Set]
Power & Glory	The spoils of war. [Core Expansion 4, Party Box Expansion 1]
Power Rangers	A television series about a group of teens fighting evil space aliens. [Junior Set (2nd)]
Power Tools	"More power! More power! Argh! Argh!" -Tim, the Tool Man, Taylor, "Home Improvement" [Core Expansion 1, Party Box]
President Bush	1946-, 43rd president of the United States. [Core Expansion 3, Party Box Expansion 1]
Pride & Prejudice	Jane Austin's 1813 classic novel expounding on the consequences of pride. [Core Expansion 4, Party Box Expansion 1]
Prince Charming	The perfect man ... mythical, of course. [Core Expansion 2, Party Box]
Princess Di	1962-97, beloved English Princess who died in an auto crash. "Good-bye England's Rose ..." -Elton John [Core Set, Party Box]
Pro Wrestling	They're just faking it. But then, so are we. [Core Set, Party Box]
Psychiatrists	"And how do you feel about that?" [Core Expansion 2, Party Box]
Psychics	The Psychic Friends Network went bankrupt in 1997. Perhaps they should have seen it coming ... [Core Expansion 1, Party Box]
Public Radio	"Good morning . . . . . This morning . . . . . . . . . . . .we have Wolfgang . . . Amadeus Mozart . . . for your listening pleasure . . ." [Core Set, Party Box]
Puff Daddy	1971- , American rap artist. "I'll be Missing You" shot him to stardom; no pun intended. [Core Set, Party Box]
Pulling Weeds	It's either this or chemical warfare. [Core Expansion 1, Party Box]
Pumping Iron	When a great weight needs to be lifted. [Core Set, Party Box]
Puppets	Finger puppets, hand puppets and string puppets. Kermit the Frog is a rod puppet. [Junior Set (1st) & (2nd)]
Pushups	Exercises, a type of bra, or the ice cream treat. [Core Expansion 2, Party Box]
Pyramids	Built by ancient civilizations, found mainly in Egypt, Guatemala, Honduras, Mexico and Peru. Probably the result of some pyramid scheme. [Core Expansion 2, Party Box]
Quentin Terantino	1963- , Groundbreaking American director and actor. Nice movies, but not nearly enough blood. [Core Set, Party Box]
Quicksand	Just don't let it get you down. [Core Set, Party Box]
R & B	Rhythm and Blues. [Core Expansion 4, Party Box Expansion 1]
R & D	Research and Development. [Core Expansion 4, Party Box Expansion 1]
R & R	Rest and relaxation, recreation, or could be recuperation. [Core Expansion 4, Party Box Expansion 1]
Raccoons	They come out at night. The dark fur around their eyes looks like a mask. [Kids Set]
Radios	In the 1940s, before television, families gathered together to listen to the radio. [Junior Set (1st) & (2nd)]
Ragweed	A weed of the genus Ambrosia. Nothing to sneeze at. [Core Expansion 2, Party Box]
Rain	"When the rain comes, they run and hide their heads; they might as well be dead." -The Beatles [Core Set, Party Box]
Rain Forests	There is heavy rainfall throughout the year and lots of bugs. [Junior Set (2nd)]
Rainbows	"Someday they'll find it/ The Rainbow Connection/ The lovers, the dreamers and me ..." -Kermit the Frog [Core Expansion 1, Party Box]
Raisins	They're just dried grapes. [Junior Set (2nd)]
Ramona	Main character in Beverly Cleary's "Ramona the Pest" and other books in the series. [Junior Set (1st) & (2nd)]
Rappers	PAENTAL ADVISORY EXPLICIT CONTENT Hasn't seemed to hurt sales... [Core Set, Party Box]
Raves	Neo-psychadelic all-night dance parties centered around acid house and techno music. All the rave. [Core Expansion 3, Party Box Expansion 1]
Reading & Writing	Old-fashioned skill, amazingly still useful today. [Core Expansion 4, Party Box Expansion 1]
Reading A Good Book	So many books, so little time. [Core Expansion 1, Party Box]
Recreational Vehicles	If they're trying to get away from it all, why are they taking it all with them? [Core Expansion 1, Party Box]
Recycling	More than one million tons of aluminum are NOT recycled each year. Where do you throw your cans? [Core Expansion 1, Party Box]
Red Raspberries	Worth a few scratches. [Core Expansion 2, Party Box]
Rednecks	"You might be a redneck if ..." -Jeff Foxworthy [Core Expansion 1, Party Box]
Redwood Forests	"From the Redwood Forests to the Gulf Stream Waters/ This land was made for you and me." -Woody Guthrie [Core Set, Party Box]
Regis & ...	Kathy Lee or Kelly - your choice. [Core Expansion 4, Party Box Expansion 1]
Regis Philbin	1934- , American talk and game show host. Who wants to be a millionaire? Regis, apparently. [Core Expansion 1, Party Box]
Remote Controls	The world's handiest invention. That is, if you can find it. [Core Set, Party Box]
Republicans	A U.S. political party symbolized by an elephant ... and don't forget it! [Core Set, Party Box]
Rice	A grain grown for food. Rice can be white, brown or black. [Junior Set (1st) & (2nd)]
Rice & Beans	South-of-the-border meat & potatoes. [Core Expansion 4, Party Box Expansion 1]
Rice Krispies Treats	How could you go wrong with Rice Krispies, marshmallows, and butter. [Core Expansion 3, Party Box Expansion 1]
Richard Nixon	1913-94, 37th President of the United States and the only president to have resigned from office. At least that's what the tapes say ... [Core Expansion 2, Party Box]
Richard Simmons	1948-, American fitness guru famous for his extroverted style, short shorts and Sweatin' to the Oldies. [Core Expansion 3, Party Box Expansion 1]
Riding A Horse	Grab the reins and hang on! [Kids Set]
Rio De Janeiro	Vibrant Brazilian city and home to Carnival. Blame it on Rio! [Core Expansion 3, Party Box Expansion 1]
Road Kill	Mmmmmm. Them's good eatin'. [Core Expansion 1, Party Box]
Road Rage	Ten years ago we complained about potholes. NOW we're dodging pot-shots. [Core Expansion 3, Party Box Expansion 1]
Road Trips	"Get Your Kicks on Route 66." -Nelson Riddle [Core Expansion 1, Party Box]
Robert DeNiro	1943- , Pre-eminent American actor who earned Academy Awards for The Godfather II and Raging Bull. "Are you looking at me?" [Core Expansion 2, Party Box]
Robin Hood	Legendary British outlaw who stole from the rich and gave to the poor, known for his courage, skill, and Merry Men. [Core Expansion 3, Party Box Expansion 1]
Robin Williams	1952- , versatile American comedian and actor. The furriest man in show business. [Core Set, Party Box]
Rock & Roll	It'll never die. Unlike Rock and Roll musicians. [Core Expansion 4, Party Box Expansion 1]
Rock Concert	If it's too loud - you're too old. [Core Set, Party Box]
Rock Stars	Even the guys wear make-up! [Junior Set (2nd)]
Rocket Scientists	Hey! They're not rocket scie ... oh ... never mind. [Core Expansion 1, Party Box]
Rocks	Rock collectors are sometimes called rockhounds. [Junior Set (1st) & (2nd)]
Rocky Mountains	These extend 2,000 miles from northeastern British Columbia to central New Mexico, and keep the Californians away from everyone else ... [Core Expansion 1, Party Box]
Rod & Reel	He took it hook, line, and sinker. [Core Expansion 4, Party Box Expansion 1]
Rogers & Hammerstein	Kings of the Broadway Musical: The Sound of Music, The King and I, South Pacific, and many, many more. [Core Expansion 4, Party Box Expansion 1]
Rollerblading	Faster than walking. [Junior Set (1st) & (2nd)]
Rolling The Car	You'll flip for this one ... [Core Expansion 2, Party Box]
Roman Numerals	There's a I in VII chance you'll know them. [Core Expansion 2, Party Box]
Ronald McDonald	The clown from McDonald's restaurants. [Kids Set]
Root Beer	A sweet, brown drink that is fizzy and foamy. Add ice cream to make a root beer float! [Kids Set]
Root Beer Floats	Actually, it's the ice cream that floats! [Core Expansion 1, Party Box]
Rope Burns	You were playing WHAT? [Core Expansion 3, Party Box Expansion 1]
Rosa Parks	1913-, civil rights icon arrested in 1956 for violating U.S. segregation laws by refusing to give up her bus seat to a white passenger. [Core Expansion 1, Party Box]
Rosie O'Donnell	1962-, American actor and comedian. She's in a league of her own! [Core Expansion 1, Party Box]
Rubber Gloves	Just in case ... [Core Expansion 2, Party Box]
Running A Marathon	26 miles, 385 yards: the distance run by a Greek soldier from the town of Marathon to Athens in 490 BC. [Core Set, Party Box]
Rush Limbaugh	1951- , conservative talk-radio personality. Claims to host his radio show with half his brain tied behind his back, just to make it fair. [Core Expansion 1, Party Box]
Russia	The world's largest country, spanning 11 time zones. Famous for borscht, ballet, chess and vodka -just don't mix them. [Core Expansion 1, Party Box]
Rust	"Rust never sleeps." -Neil Young [Core Set, Party Box]
Rusty Nails	Good name for a country western singer. [Core Expansion 3, Party Box Expansion 1]
Saddam Hussein	1937-, dictator of Iraq 1979-2003. [Core Set, Party Box]
Sailors	"In the Navy, you can sail the seven seas ..." -The Village People [Core Expansion 1, Party Box]
Salads	Lettuce not knock the vegetarians. [Core Expansion 2, Party Box]
Salsa Dancing	Popular form of Latin American dance. A little jazz, a little blues, a touch of rock and lots of heat. [Core Expansion 2, Party Box]
Salt 'N Pepa	Extremely successful rap group formed in the 1980s, known for their portrayals of the woman's perspective on relationships. [Core Expansion 4, Party Box Expansion 1]
Salt & Pepper	"Pump it up a notch! BAM!" - Emeril Lagasse. [Core Expansion 4, Party Box Expansion 1]
Salvador Dali	1904-89, Spansih artist best known for his dream imagery and surrealism, including the limp watches in The Persistence Of Memory. [Core Expansion 2, Party Box]
Samuel L. Jackson	1948-, powerful American actor of Pulp Fiction, Jackie Brown, and The Negotiator. [Core Expansion 2, Party Box]
San Francisco	California's City by the Bay. Where many hearts are left. [Core Set, Party Box]
Sand & Surf	Life's a beach! [Core Expansion 4, Party Box Expansion 1]
Sandra Bullock	1964-, American actor who starred in Speed, Miss Congeniality, and While You Were Sleeping. The classic girl-next-door. [Core Expansion 3, Party Box Expansion 1]
Saturday Cartoons	Get your blanket, a bowl of cereal and snuggle in for three hours of commercials. [Core Expansion 1, Party Box]
Saturn	Sixth planet from the sun, and the second largest in the solar system. Has a nice ring to it, don't you think? [Core Set, Party Box]
Scene Of The Crime	It was Colonel Mustard, in the library, with the candlestick. [Core Set, Party Box]
Scented Candles	You didn't have to BAKE an apple pie - just light a candle. [Core Expansion 3, Party Box Expansion 1]
Schindler's List	1993 Steven Spielberg film. Powerful real-life story of a Catholic businessman who eventually saved over 1000 Jews in Nazi Poland. [Core Expansion 2, Party Box]
School Lunch	Hot lunch, cold lunch, or bring your own lunch. [Junior Set (1st) & (2nd)]
Science Experiments	Your science experiment? I thought it was dinner! [Junior Set (2nd)]
Science Fair Projects	No human subjects, please! [Core Expansion 1, Party Box]
Science Fiction	In a galaxy far, far away ... [Core Expansion 1, Party Box]
Scientists	Scientists study astronomy, biology, chemistry, geology, and other stuff. [Junior Set (1st) & (2nd)]
Screaming	NOT SO LOUD! [Kids Set]
Screeching	Please stop. [Core Expansion 1, Party Box]
Sean Connery	1930- , Accomplished Scottish actor, although best known as the REAL Bond, JAMES Bond ... [Core Set, Party Box]
Sesame Street	Children's television show featuring Big Bird. "Can you tell me how to get to Sesame Street?" [Kids Set]
Shake & Bake	... and eat. [Core Expansion 4, Party Box Expansion 1]
Shania Twain	1965- , Canadian country singer and songwriter. "Shania" means "I'm on my way" in Ojibwa. [Core Expansion 1, Party Box]
Sharks	Many species living today are similar to those from 100 million years ago. Because change is scary. [Core Set, Party Box]
Sharp Knives	Found in kitchen drawers, tackle boxes and butcher shops. [Junior Set (2nd)]
Shave & A Haircut	Two bits. [Core Expansion 4, Party Box Expansion 1]
Shipwrecks	"The lake it is said never gives up her dead . . ." - The Wreck of the Edmund Fitzgerald" [Core Expansion 3, Party Box Expansion 1]
Shopping	It's shopping-whether you buy something or not. [Junior Set (2nd)]
Shopping Mall	Three-quarters of the North American population visit a shopping mall at least once a month. [Core Expansion 1, Party Box]
Sigmund Freud	1856-1939, Viennese psychologist and the originator of psychoanalysis and the Freudian slip. [Core Expansion 3, Party Box Expansion 1]
Silk	Produced as a cocoon covering by the silk worm, and used in fine fabrics and textiles. [Core Set, Party Box]
Silly Putty	It's putty in your hands! [Core Expansion 2, Party Box]
Sin & Redemption	Everybody deserves a second chance. [Core Expansion 4, Party Box Expansion 1]
Sisters	Sister, sister! [Junior Set (1st) & (2nd)]
Sitcoms	If they're so funny, WHY THE LAUGH TRACK? [Core Expansion 3, Party Box Expansion 1]
Skateboarding	It's just going downhill ... down stairs ... down ramps ... [Core Set, Party Box]
Skeletons	There are 206 bones in the human body. Count them! [Junior Set (2nd)]
Skiing	The Super Ginat Slalom: Swiss for "suicide." [Core Set, Party Box]
Skin & Bones	What would you be without them? [Core Expansion 4, Party Box Expansion 1]
Skinheads	Shaved heads, big boots. Some are Nazis, some are not. [Core Set, Party Box]
Skunks	Black and white striped mammals known for their offensive smelling defensive spray. [Core Expansion 2, Party Box]
Skydiving	Parachute canopies are usually made from nylon fabric that lasts for thousands of jumps - whether the skydiver does or not. [Core Set, Party Box]
Slash & Burn	And there goes another rain forest... [Core Expansion 4, Party Box Expansion 1]
Slasher Films	A real nightmare. [Core Expansion 3, Party Box Expansion 1]
Sleep	"Don't let the bedbugs bite." [Kids Set]
Sleeping Pills	I remember taking them ... I just ... don"t rememmer ... how mamy. [Core Expansion 1, Party Box]
Slice & Dice	A sharp knife is a safe knife. [Core Expansion 4, Party Box Expansion 1]
Slip & Fall	Watch out for ... too late! [Core Expansion 4, Party Box Expansion 1]
Slivers	Also known as splinters. The worst ones are under your fingernails. [Core Expansion 1, Party Box]
Slobodan Milosevic	1941-, former leader of Serbia, also known as "the Butcher of the Balkans." [Core Expansion 3, Party Box Expansion 1]
Sloppy Joes	My favorite recipe -open the can. [Core Expansion 1, Party Box]
Smith & Wesson	Firearms when ready! [Core Expansion 4, Party Box Expansion 1]
Smithsonian Institution	Located in Washington, D.C., the largest museum complex in the world. Wouldn't that be a great garage sale? [Core Expansion 2, Party Box]
Smoke & Mirrors	That's how we do it! [Core Expansion 4, Party Box Expansion 1]
Snakes	Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive. [Core Set, Party Box]
Sneezing	Ah-ah-ah-choo! [Junior Set (1st) & (2nd)]
Snips & Snails	And puppy dog tails. [Core Expansion 4, Party Box Expansion 1]
Snoopy & The Red Barron	Characters in the Peanuts comic strip. Talk about a dog fight! [Core Expansion 4, Party Box Expansion 1]
Snow	Transparent ice crystals which form around dust and other small particles. Get my drift? [Core Set, Party Box]
Snow White	"Mirror, mirror, on the wall, who is the fairest of them all?" [Kids Set]
Snowboarding	Snowboarding was declared an official Olympic sport in 1994. [Junior Set (2nd)]
Snowstorm	Lots of snow blowing around. Maybe school will be closed! [Kids Set]
Social Security	American program designed to provide income and services in the event of retirement, sickness, disability, death or unemployment. [Core Expansion 2, Party Box]
Socks	"Black socks, they never get dirty, the longer you wear them the stronger they get." -Bill Harley [Core Set, Party Box]
South Africa	Two oceans, rugged mountains, traditional villages, game sanctuaries, wineries...forget the past and bring on the tourists. [Core Set, Party Box]
South Park	Highly-rated, highly offensive animated cartoon series. "Oh my God! We killed Kenny!" [Core Expansion 2, Party Box]
Soy Sauce	A brewed seasoning made from soybeans, wheat, and salt. [Core Expansion 2, Party Box]
Space & Time	Infinite. [Core Expansion 4, Party Box Expansion 1]
Spam	Mystery meat, or mystery E-mails ... [Core Expansion 1, Party Box]
Speeding Tickets	"No, officer, I don't have any idea how fast I was going." [Core Expansion 1, Party Box]
Spider-Man	He's a student. He's a superhuman crime fighter. He's Spider-Man! [Junior Set (2nd)]
Spiders	There are more than 34,000 species of spiders. Try not to think about THAT right before bedtime. [Core Set, Party Box]
Spiders & Snakes	Creepy! Legs or no legs. [Core Expansion 4, Party Box Expansion 1]
Spike Lee	1957-, American film maker and Knicks fan. Best known for Do the Right Thing, Malcolm X, and 4 Little Girls. [Core Set, Party Box]
Spilled Milk	Got milk? WHOOPS! Apparently not ... [Core Expansion 2, Party Box]
Spit	Ladies and gentlemen, straight from the Salivary Glands ... [Core Set, Party Box]
Spit & Polish	We could do with less spit and more polish. [Core Expansion 4, Party Box Expansion 1]
Spontaneous Combustion	The ignition of substances without application of an external heat source. A good plot for "The X-Files." [Core Expansion 1, Party Box]
Sport Utility Vehicles	Need new tires? [Core Expansion 2, Party Box]
Sports Channels	Any team, any time. [Core Expansion 2, Party Box]
Squirrels	Small animals with big brown eyes and bushy tails. They like nuts and can run on telephone lines. [Kids Set]
Stalactites & Stalagmites	The ups and downs of spelunking. [Core Expansion 4, Party Box Expansion 1]
Stamp Collecting	If you can't lick 'em, collect 'em. [Core Expansion 3, Party Box Expansion 1]
Stanley & Livingston	Britons who explored Africa, I presume. [Core Expansion 4, Party Box Expansion 1]
Star Fruit	Looks like plastic, tastes like lemons. [Core Expansion 2, Party Box]
Starry Night	A sky bright with stars, a classic Van Gogh painting, and a Don McLean song. Three cards in one! [Core Expansion 1, Party Box]
Stars & Stripes	Three cheers for the red, white, and blue! [Core Expansion 4, Party Box Expansion 1]
Stars	Points of sparkling light that you can see in the night sky. Make a wish! [Kids Set]
State Fair	Aw, gee whiz, a blue ribbon for Bessie! [Core Expansion 2, Party Box]
Steak And Potatoes	Hot off the grill! [Core Expansion 2, Party Box]
Stephen King	1947- , American author of horror novels, who's sold more than 100 million copies of his books. Talk about frightening ... [Core Set, Party Box]
Steve Martin	1945- , American comedian, actor, writer, and "wild and crazy guy." [Core Expansion 1, Party Box]
Steven Spielberg	1947-, American movie director and producer, and overachiever. From E.T. to Schindler's List... too many to list. [Core Set, Party Box]
Sticks & Stones	When words are not enough. [Core Expansion 4, Party Box Expansion 1]
Stocks & Bonds	At least they're worth the paper they're printed on... We hope. [Core Expansion 4, Party Box Expansion 1]
Stonehenge	Prehistoric stone monument located north of Salisbury, England. [Core Expansion 1, Party Box]
Stop Signs	Gee, Officer, I THOUGHT it was green! [Core Expansion 3, Party Box Expansion 1]
Strained Peas	The strain comes when you have to eat them. [Core Expansion 3, Party Box Expansion 1]
Strawberry Shortcake	Summertime and the eating is easy ... [Core Expansion 2, Party Box]
Street Mimes	A mime is a terrible thing to waste. On second thought . . . [Core Expansion 3, Party Box Expansion 1]
Stretch Limos	Stretch your legs, stretch your wallet. [Core Expansion 3, Party Box Expansion 1]
Strip Malls	Almost as attractive as stip mines. [Core Expansion 3, Party Box Expansion 1]
Stubbed Toes	It'll feel better when it quits hurting. [Core Expansion 2, Party Box]
Stunt People	When you need someone to take the fall. [Core Expansion 2, Party Box]
Sugar & Spice	And everything nice. [Core Expansion 4, Party Box Expansion 1]
Suit & Tie	It's business as usual! [Core Expansion 4, Party Box Expansion 1]
Summer Camp	If the bugs don't get you, the poison ivy will! [Core Expansion 1, Party Box]
Sumo Wrestlers	Wrestlers usually weigh 300-400 pounds and win this Japanese form of wrestling by forcing an opponent out of the ring. [Core Expansion 3, Party Box Expansion 1]
Sunday Drivers	Now available ANY day of the week! [Core Expansion 1, Party Box]
Sugar	"Sugar is sweet and so are you." [Junior Set (2nd)]
Sunshine	Warms the Earth and helps plants to grow. [Kids Set]
Superman	Fictional comic book superhero loved by Lois Lane and Jerry Seinfeld. [Core Set, Party Box]
Supermarkets	It's a meat market, bakery, flower shop, and toy store- all in one! [Junior Set (2nd)]
Supermodels	Long legs = big bucks. [Core Expansion 2, Party Box]
Surf & Turf	Steak and lobster. No need to choose. [Core Expansion 4, Party Box Expansion 1]
Surfing The Net	www.otb-games.com [Core Set, Party Box]
Surprise Parties	SURPRISE! Oh. He had a heart condition . . . that WAS a surprise . . . [Core Expansion 3, Party Box Expansion 1]
Sushi	Who would ever have guessed that raw fish could be so fashionable? [Core Expansion 2, Party Box]
Swans	The "Ugly Duckling" was actually a baby swan. [Junior Set (2nd)]
Swiss Bank Accounts	Do you think everyone in Switzerland has one? [Core Expansion 1, Party Box]
Swiss Cheese	Guess it comes from holey cows ... [Core Expansion 2, Party Box]
Swiss Chocolate	"What use are cartridges in battle? I always carry chocolate instead." -George Bernard Shaw [Core Set, Party Box]
Tacos	Meat, cheese, and hot sauce all wrapped up in a tortilla. [Junior Set (2nd)]
Taking A Bath	Bathing facilities have been found in excavations in India from before 2000 BC. Soap-on-a-Rope hasn't. [Core Set, Party Box]
Taking A Shower	That'll wake you up. [Junior Set (2nd)]
Talk Radio	Talk about air pollution. [Core Expansion 2, Party Box]
Tarred & Feathered	It's a sticky situation. [Core Expansion 4, Party Box Expansion 1]
Tarzan & Jane	He went ape over her. [Core Expansion 4, Party Box Expansion 1]
Tattoo Parlors	"With nothing to show but this brand new tattoo . . . how I got it here I haven't a clue." - Jimmy Buffett [Core Expansion 3, Party Box Expansion 1]
Tea & Crumpets	Upper-crust toast & jelly. [Core Expansion 4, Party Box Expansion 1]
Teachers	If you can play this game, thank a teacher. [Core Set, Party Box]
Teenagers	Ages thirteen to nineteen. [Junior Set (1st) & (2nd)]
Telemarketers	"No, thank you ... No, I'm not interested ... No, I have to go now ..." [Core Expansion 1, Party Box]
Televangelists	Not to be confused with Teletubbies. [Core Expansion 1, Party Box]
Television	One-hundred and sixty-four channels, and nothing worth watching. [Core Set, Party Box]
Telling Scary Stories	"It was a dark and stormy night . . ." [Junior Set (1st) & (2nd)]
Telling The Truth	"There are two kinds of truth. There are real truths and there are made-up truths." -Marion Barry, ex-mayor of Washington, D.C. [Core Expansion 2, Party Box]
Terrorist Attack	We will never negotiate with terrorists. [Core Set, Party Box]
Thanksgiving Day	The fourth Thursday of November in the U.S.; the second Monday in October in Canada. [Core Set, Party Box]
The 1920s	Pros: the Jazz Age. Cons: Presidents who look like librarians. [Core Set, Party Box]
The 1950s	Pros: Barbies, barbecues, and bikinis. Cons: McCarthy, the Korean War, television. [Core Set, Party Box]
The 1960s	Pros: the Moon Lsnding, the music. Cons: hippies who refuse to believe they're over. [Core Set, Party Box]
The 1970s	Pros ... uh ... pros ... uh ... GIVE US A MINUTE, OKAY? [Core Set, Party Box]
The 1980s	Pros: meant the end of the 1970s. Cons: '80s nostalgia. [Core Set, Party Box]
The 1990s	Dot-coms, Clinton and designer coffee. The good old days. [Core Expansion 3, Party Box Expansion 1]
The 21st Century	The future is NOW! [Core Set, Party Box]
The Academy Awards	The statue known as "Oscar" weighs only eight and a half pounds. So why does it carry so much weight? [Core Set, Party Box]
The Atlantic & Pacific	Oceans apart. [Core Expansion 4, Party Box Expansion 1]
The Beach	A day at the beach is no day at the beach, ya know? [Core Set, Party Box]
The Beatles	1960s British band. Only the most revolutionary, influential and universally acclaimed group of the 20th century. That's all. [Core Set, Party Box]
The Big Dipper	Group of stars in the Northern sky that form part of the constellation Ursa Major. [Core Expansion 3, Party Box Expansion 1]
The Birds & The Bees	We'll tell you about them sometime. [Core Expansion 4, Party Box Expansion 1]
The Chicken & The Egg	Which came first? The egg. Look it up! [Core Expansion 4, Party Box Expansion 1]
The CIA	The Central Intelligence Agency is responsible for keeping the U.S. government informed of foreign actions affecting the nation's interest. [Core Expansion 2, Party Box]
The Cold War	The post-World War II struggle between the US and its allies, and the former USSR and its allies. Things could have gotten hot. [Core Expansion 1, Party Box]
The Common Loon	A spotted, red-eyed diving bird -or various friends or family. [Core Expansion 1, Party Box]
The Dalai Lama	Title of the leader of Tibetan Buddhism, in exile since 1959. Hello, Dalai! [Core Expansion 3, Party Box Expansion 1]
The Dallas Cowboys	National Football League team known for their cheerleaders and their performance, both on and off the field. [Core Expansion 1, Party Box]
The Dixie Chicks	Female country and western band with pop leanings. Winners of multiple Country Music Association awards. Goodbye, Earl! [Core Expansion 3, Party Box Expansion 1]
The Dump	Just remember to recycle. [Core Set, Party Box]
The Eiffel Tower	Designed and built by French engineer Alexandre Gustave Eiffel for the Paris World's Fair of 1889. [Core Set, Party Box]
The Electric Chair	In U.S. prisons, an alternating current of about 2000 volts is used for electrocution. [Core Set, Party Box]
The End Of The World	"It's the end of the world as we know it, and I feel fine ..." -REM [Core Expansion 1, Party Box]
The Everglades	A vast marsh covering much of southern Florida. Watch out for alligators! [Core Expansion 1, Party Box]
The Far Left	They get high Marx from some. [Core Expansion 2, Party Box]
The Far Right	Far right for some and far wrong for others. [Core Expansion 2, Party Box]
The FBI	The Federal Bureau of Investigation: the investigative agency for the U.S. Department of Justice. They're listening ... [Core Expansion 1, Party Box]
The First Day Of School	"Fear has many eyes." -Cervantes [Core Set, Party Box]
The French Riviera	Holiday home of the rich, the famous, and the half-naked. [Core Set, Party Box]
The Godfather	The 1972 critically acclaimed Mafia movie that made us as offer we couldn't refuse. [Core Expansion 1, Party Box]
The Grand Canyon	217 miles long, 4 to 18 miles wide, and more than 1 mile deeps. Now THAT'S grand. [Core Set, Party Box]
The Grateful Dead	American rock band, founded in 1965 and best known for their "Dead Head" fans. [Core Set, Party Box]
The Graveyard Shift	It WILL be the death of me . . . [Core Expansion 3, Party Box Expansion 1]
The Great Barrier Reef	Coral reefs, shoals and islets off the northern coast of Australia. Scuba heaven. [Core Expansion 3, Party Box Expansion 1]
The Great Chicago Fire	The noteworthy fire of 1871 ... a hot time in the old town ... [Core Expansion 1, Party Box]
The Great Depression	Prozac was invented six decades too late. [Core Set, Party Box]
The Great Wall Of China	A 1500 mile long wall across northern China. Built for fortification but better for tourism. [Core Expansion 3, Party Box Expansion 1]
The Green Bay Packers	Twelve time National Football League world champions, beloved by "Cheeseheads" everywhere. Are those brats done yet? [Core Set, Party Box]
The Gulf War	January - February, 1991. This six week conflict with Iraq was also known as "Desert Storm." [Core Set, Party Box]
The Ice Age	Polarity analysis of deep-sea sediment suggests the Pleistocene age began more than 1.8 million years ago. Bla-bla-bla. [Core Expansion 3, Party Box Expansion 1]
The Indy 500	Contestants must drive the full 500 miles. Bathroom breaks ARE allowed. [Core Set, Party Box]
The Internet	Computer-based worldwide information network, and global shopping market. [Core Expansion 2, Party Box]
The IRS	The Internal Revenue Service: agency of the U.S. Department of the Treasury responsible for collecting taxes. A human audity. [Core Expansion 1, Party Box]
The JFK Assassination	November 22, 1963. The funeral of President Kennedy was watched on television by millions around the world. [Core Set, Party Box]
The Judge	Smile when you play this card. [Core Expansion 3, Party Box Expansion 1]
The KKK	IF they're supposed to be the master race, why do they keep misspelling "Clan"? [Core Set, Party Box]
The Land Of Oz	"I've a feeling we're not in Kansas anymore, Toto." -Dorothy, "The Wizard Of Oz" [Core Set, Party Box]
The Library	Books, magazines, newspapers, tapes, and computers. SHHHH! [Junior Set (1st) & (2nd)]
The Little Mermaid	The 1837 story by Hans Christian Anderson or the 1989 animated film by Disney. Guess which made more money? [Core Expansion 1, Party Box]
The Lunchroom	What's for lunch? [Junior Set (2nd)]
The Mafia	A loose association of criminal groups, bound by a blood oath and sworn to secrecy. Of course, now we have to kill you. [Core Set, Party Box]
The Marx Brothers	Chico, Groucho, Harpo, amd sometimes Zeppo. Their 1930s films include Duck Soup and Animal Crackers. [Core Set, Party Box]
The Metric System	No, thank you. We like our inches and feet! [Core Expansion 1, Party Box]
The Midwest	America's central plains states. They're not like folks 'round here ... [Core Set, Party Box]
